run_ts_utc,experiment_name,report,split,model,group_type,group_value,selector_status,edge_threshold,min_probability,min_odds,max_odds,matches,bets,coverage,wins,hit_rate,avg_prob,avg_edge,avg_odds,avg_clv_pct,invested,returned,profit,roi
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,league,germany,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,8,0.5086,3,37.5,0.549908,0.221008,2.2285,2.3926,0.337679,0.259671,-0.078007,-23.1011
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,league,italy,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,8,0.5086,5,62.5,0.558115,0.259784,2.2572,3.8499,0.342204,0.501611,0.159408,46.5826
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,league,spain,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,7,0.445,4,57.1429,0.593999,0.471433,2.469,2.3721,0.349942,0.514648,0.164706,47.0667
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,pick,A,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,25,1.5893,8,32.0,0.56661,0.336307,2.3589,1.1881,1.166888,0.960904,-0.205984,-17.6524
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,pick,H,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,18,1.1443,8,44.4444,0.557544,0.251466,2.2476,9.3384,0.728954,0.654268,-0.074687,-10.2457
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,odds_bucket,1.50-2.00,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,1,0.0636,0,0.0,0.628345,0.25669,2.0,-1.4778,0.05,0.0,-0.05,-100.0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,odds_bucket,2.00-3.00,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,39,2.4793,15,38.4615,0.562252,0.271734,2.2612,4.6602,1.695842,1.456672,-0.23917,-14.1033
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,odds_bucket,3.00-5.00,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,3,0.1907,1,33.3333,0.548284,0.693245,3.0814,5.8406,0.15,0.1585,0.0085,5.6667
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,edge_bucket,10-15%,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,5,0.3179,4,80.0,0.54166,0.136635,2.1009,-16.1309,0.156135,0.267794,0.111659,71.5147
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,edge_bucket,>15%,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,38,2.4158,12,31.5789,0.565598,0.322392,2.3401,7.3276,1.739707,1.347378,-0.39233,-22.5515
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,confidence_bucket,45-55%,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,17,1.0807,5,29.4118,0.521168,0.240773,2.3847,1.9659,0.667386,0.396141,-0.271245,-40.643
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,confidence_bucket,55-65%,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,25,1.5893,11,44.0,0.584674,0.320334,2.2543,3.0227,1.178456,1.219031,0.040575,3.4431
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,base,confidence_bucket,>65%,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,1573,1,0.0636,0,0.0,0.724339,0.832579,2.53,88.806,0.05,0.0,-0.05,-100.0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,market,all,all,fallback_not_robust_validation,0.05,0.0,1.01,10.0,1752,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,market,all,all,fallback_not_robust_validation,0.05,0.0,1.01,10.0,1573,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,all,all,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,50,2.8539,31,62.0,0.444433,0.218939,2.7864,-6.4041,1.474729,2.56545,1.090721,73.9608
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,league,england,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,17,0.9703,10,58.8235,0.447945,0.192539,2.7029,-2.1694,0.481604,0.805079,0.323475,67.1662
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,league,france,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,6,0.3425,3,50.0,0.471919,0.166275,2.475,-13.4149,0.170026,0.216467,0.046442,27.3145
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,league,germany,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,8,0.4566,7,87.5,0.455871,0.240067,2.7625,-3.2198,0.238781,0.632872,0.394091,165.0426
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,league,italy,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,9,0.5137,5,55.5556,0.441499,0.210141,2.7744,-18.9948,0.266375,0.383519,0.117144,43.9773
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,league,spain,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,10,0.5708,6,60.0,0.415461,0.286433,3.145,-0.6125,0.317944,0.527513,0.20957,65.914
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,pick,A,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,35,1.9977,23,65.7143,0.468724,0.167181,2.4963,-9.7365,0.983521,1.624013,0.640491,65.1223
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,pick,D,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,15,0.8562,8,53.3333,0.387754,0.339707,3.4633,1.3715,0.491208,0.941437,0.450229,91.6577
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,odds_bucket,2.00-3.00,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,35,1.9977,23,65.7143,0.468724,0.167181,2.4963,-9.7365,0.983521,1.624013,0.640491,65.1223
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,odds_bucket,3.00-5.00,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,15,0.8562,8,53.3333,0.387754,0.339707,3.4633,1.3715,0.491208,0.941437,0.450229,91.6577
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,edge_bucket,>15%,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,50,2.8539,31,62.0,0.444433,0.218939,2.7864,-6.4041,1.474729,2.56545,1.090721,73.9608
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,confidence_bucket,35-45%,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,27,1.5411,13,48.1481,0.411987,0.262193,3.0952,0.0446,0.794413,1.265783,0.47137,59.3357
