run_ts_utc,experiment_name,model,feature_set,logloss,accuracy
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,xgb,market_plus_understat_xg,0.978022,0.529586
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,mlp,market_plus_understat_xg,1.00618,0.517751
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,xgb,market_context_plus_understat_xg,0.976727,0.531805
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,mlp,market_context_plus_understat_xg,0.980675,0.532544
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,xgb,no_market,0.991642,0.519231
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,mlp,no_market,1.033888,0.472633
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,xgb,market_only,0.976378,0.531065
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,mlp,market_only,1.018643,0.486686
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,xgb,market_plus_context,0.975587,0.531805
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,mlp,market_plus_context,0.974489,0.534024
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,xgb,core_18,0.983131,0.533789
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,mlp,core_18,0.984287,0.516325
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,xgb,no_understat_xg,0.982834,0.529992
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,mlp,no_understat_xg,0.99182,0.510251
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,xgb,market_plus_understat_xg,0.981455,0.525437
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,mlp,market_plus_understat_xg,0.982774,0.522399
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,xgb,market_context_plus_understat_xg,0.980225,0.527715
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,mlp,market_context_plus_understat_xg,0.980554,0.525437
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,xgb,no_market,0.995964,0.513288
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,mlp,no_market,1.073905,0.40167
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,xgb,market_only,0.979918,0.526955
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,mlp,market_only,1.035576,0.463174
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,xgb,market_plus_context,0.979134,0.528474
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,mlp,market_plus_context,0.980794,0.53303
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,xgb,core_18,0.983652,0.537826
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,mlp,core_18,0.987802,0.508582
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,xgb,no_understat_xg,0.983818,0.530197
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,mlp,no_understat_xg,1.008213,0.492053
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,xgb,market_plus_understat_xg,0.982657,0.530197
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,mlp,market_plus_understat_xg,0.986233,0.513032
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,xgb,market_context_plus_understat_xg,0.981005,0.532104
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,mlp,market_context_plus_understat_xg,0.984954,0.517483
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,xgb,no_market,0.995249,0.520025
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,mlp,no_market,1.00981,0.497139
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,xgb,market_only,0.98084,0.527654
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,mlp,market_only,1.003351,0.521933
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,xgb,market_plus_context,0.980261,0.528926
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,mlp,market_plus_context,1.000475,0.530197
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,xgb,core_18,0.983652,0.537826
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,mlp,core_18,0.987802,0.508582
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,xgb,no_understat_xg,0.983818,0.530197
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,mlp,no_understat_xg,1.008213,0.492053
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,xgb,market_plus_understat_xg,0.982657,0.530197
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,mlp,market_plus_understat_xg,0.986233,0.513032
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,xgb,market_context_plus_understat_xg,0.981005,0.532104
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,mlp,market_context_plus_understat_xg,0.984954,0.517483
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,xgb,no_market,0.995249,0.520025
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,mlp,no_market,1.00981,0.497139
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,xgb,market_only,0.98084,0.527654
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,mlp,market_only,1.003351,0.521933
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,xgb,market_plus_context,0.980261,0.528926
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,mlp,market_plus_context,1.000475,0.530197
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,xgb,core_18,0.983652,0.537826
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,mlp,core_18,0.987802,0.508582
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,xgb,no_understat_xg,0.983818,0.530197
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,mlp,no_understat_xg,1.008213,0.492053
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,xgb,market_plus_understat_xg,0.982657,0.530197
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,mlp,market_plus_understat_xg,0.986233,0.513032
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,xgb,market_context_plus_understat_xg,0.981005,0.532104
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,mlp,market_context_plus_understat_xg,0.984954,0.517483
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,xgb,no_market,0.995249,0.520025
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,mlp,no_market,1.00981,0.497139
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,xgb,market_only,0.98084,0.527654
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,mlp,market_only,1.003351,0.521933
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,xgb,market_plus_context,0.980261,0.528926
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,mlp,market_plus_context,1.000475,0.530197
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,xgb,core_18,0.983652,0.537826
