Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
21/03/2026,Man City,Crystal Palace,,,,,
10/04/2026,West Ham,Wolves,,,,,
11/04/2026,Arsenal,Bournemouth,,,,,
11/04/2026,Brentford,Everton,,,,,
11/04/2026,Burnley,Brighton,,,,,
11/04/2026,Liverpool,Fulham,,,,,
12/04/2026,Crystal Palace,Newcastle,,,,,
12/04/2026,Nott'm Forest,Aston Villa,,,,,
12/04/2026,Sunderland,Tottenham,,,,,
12/04/2026,Chelsea,Man City,,,,,
13/04/2026,Man United,Leeds,,,,,
18/04/2026,Brentford,Fulham,,,,,
18/04/2026,Leeds,Wolves,,,,,
18/04/2026,Newcastle,Bournemouth,,,,,
18/04/2026,Tottenham,Brighton,,,,,
18/04/2026,Chelsea,Man United,,,,,
19/04/2026,Aston Villa,Sunderland,,,,,
19/04/2026,Everton,Liverpool,,,,,
19/04/2026,Nott'm Forest,Burnley,,,,,
19/04/2026,Man City,Arsenal,,,,,
20/04/2026,Crystal Palace,West Ham,,,,,
24/04/2026,Sunderland,Nott'm Forest,,,,,
25/04/2026,Fulham,Aston Villa,,,,,
25/04/2026,Bournemouth,Leeds,,,,,
25/04/2026,Liverpool,Crystal Palace,,,,,
25/04/2026,West Ham,Everton,,,,,
25/04/2026,Wolves,Tottenham,,,,,
25/04/2026,Arsenal,Newcastle,,,,,
26/04/2026,Burnley,Man City,,,,,
26/04/2026,Brighton,Chelsea,,,,,
27/04/2026,Man United,Brentford,,,,,
01/05/2026,Leeds,Burnley,,,,,
02/05/2026,Aston Villa,Tottenham,,,,,
02/05/2026,Bournemouth,Crystal Palace,,,,,
02/05/2026,Brentford,West Ham,,,,,
02/05/2026,Newcastle,Brighton,,,,,
02/05/2026,Wolves,Sunderland,,,,,
02/05/2026,Arsenal,Fulham,,,,,
03/05/2026,Man United,Liverpool,,,,,
04/05/2026,Chelsea,Nott'm Forest,,,,,
04/05/2026,Everton,Man City,,,,,
09/05/2026,Liverpool,Chelsea,,,,,
09/05/2026,Brighton,Wolves,,,,,
09/05/2026,Burnley,Aston Villa,,,,,
09/05/2026,Crystal Palace,Everton,,,,,
09/05/2026,Fulham,Bournemouth,,,,,
09/05/2026,Sunderland,Man United,,,,,
09/05/2026,Man City,Brentford,,,,,
10/05/2026,Nott'm Forest,Newcastle,,,,,
10/05/2026,West Ham,Arsenal,,,,,
11/05/2026,Tottenham,Leeds,,,,,
17/05/2026,Arsenal,Burnley,,,,,
17/05/2026,Aston Villa,Liverpool,,,,,
17/05/2026,Bournemouth,Man City,,,,,
17/05/2026,Brentford,Crystal Palace,,,,,
17/05/2026,Chelsea,Tottenham,,,,,
17/05/2026,Everton,Sunderland,,,,,
17/05/2026,Leeds,Brighton,,,,,
17/05/2026,Man United,Nott'm Forest,,,,,
17/05/2026,Newcastle,West Ham,,,,,
17/05/2026,Wolves,Fulham,,,,,
24/05/2026,Brighton,Man United,,,,,
24/05/2026,Burnley,Wolves,,,,,
24/05/2026,Crystal Palace,Arsenal,,,,,
24/05/2026,Fulham,Newcastle,,,,,
24/05/2026,Liverpool,Brentford,,,,,
24/05/2026,Man City,Aston Villa,,,,,
24/05/2026,Nott'm Forest,Bournemouth,,,,,
24/05/2026,Sunderland,Chelsea,,,,,
24/05/2026,Tottenham,Everton,,,,,
24/05/2026,West Ham,Leeds,,,,,
